x,x-axis,c_target,y-axis,uniqueness_score,homogeneity_score,approx_score,teaching_set
720,0.41,5,0.05,0.01023750000000002,0.3278688524590164,0.6204946996466429,720
721,0.55,7,0.45,0.014174999999999993,0.16981132075471694,0.4445229681978797,721
725,0.64,5,0.03,0.0006749999999999999,0.23809523809523814,0.6204946996466429,725
726,0.8,11,0.58,0.0,0.2,0.4296819787985864,726
730,0.8,5,0.35,0.0,0.2,0.6204946996466429,730
731,0.47,17,0.82,0.015193749999999995,0.22448979591836735,0.3837455830388691,731
737,0.74,11,0.29,0.0,0.2,0.4296819787985864,737
740,0.79,5,0.0,0.0,0.20202020202020202,0.6204946996466429,740
741,0.76,13,0.79,0.0,0.20833333333333334,0.3088339222614837,741
742,0.78,7,0.5,0.0,0.19148936170212766,0.4445229681978797,742
745,0.66,5,0.14,0.0003000000000000001,0.23255813953488372,0.6204946996466429,745
749,0.23,7,0.55,0.21479499999999999,0.42105263157894735,0.4445229681978797,749
750,0.27,5,0.0,0.032062500000000035,0.425531914893617,0.6204946996466429,750
754,0.54,13,0.76,0.012675000000000004,0.18518518518518517,0.3088339222614837,754
755,0.75,5,0.3,0.0,0.21052631578947367,0.6204946996466429,755
756,0.71,7,0.84,0.0,0.21978021978021978,0.4445229681978797,756
759,0.79,11,0.67,0.0,0.20202020202020202,0.4296819787985864,759
760,0.8,5,0.0,0.0,0.2,0.6204946996466429,760
763,0.37,7,0.47,0.08336249999999998,0.27027027027027023,0.4445229681978797,763
767,0.49,13,0.65,0.028874999999999998,0.21568627450980396,0.3088339222614837,767
775,0.78,5,0.05,0.0,0.2040816326530612,0.6204946996466429,775
777,0.58,7,0.65,0.0,0.2564102564102564,0.4445229681978797,777
781,0.6,11,0.67,0.0,0.22222222222222227,0.4296819787985864,781
782,0.73,17,0.93,0.0,0.2150537634408602,0.3837455830388691,782
784,0.72,7,0.0,0.0,0.2173913043478261,0.4445229681978797,784
785,0.75,5,0.03,0.0,0.21052631578947367,0.6204946996466429,785
790,0.71,5,0.18,0.0,0.21978021978021978,0.6204946996466429,790
791,0.39,7,0.46,0.0745875,0.320754716981132,0.4445229681978797,791
792,0.8,11,0.14,0.0,0.2,0.4296819787985864,792
793,0.46,13,0.55,0.029835000000000018,0.2833333333333334,0.3088339222614837,793
795,0.76,5,0.13,0.0,0.20833333333333334,0.6204946996466429,795
798,0.76,7,0.29,0.0,0.20833333333333334,0.4445229681978797,798
799,0.38,17,0.8,0.07020000000000003,0.23529411764705888,0.3837455830388691,799
800,0.3,5,0.01,0.10400000000000001,0.4,0.6204946996466429,800
